0,Labels
a person starts laughing uncontrollably first of all um given that some of the information let's hope not much but some of the information in textbooks is incorrect is are those sorts of statements true can one observe those in the clinic and what are some of the more interesting uh and I don't necessarily mean entertaining ,0
but um surprising things that you've seen when you've poked around in the brain deliberately of course and uh what have you seen what have you heard I have to say I I am amazed by these effects uh every day yeah I'm very privileged to be able to interact with the human brain in this way it's always ,0
in them with the goal of trying to provide somebody with a meaningful therapy but when we deliver electrical stimulation you know the these electrodes while they might be sitting in a very small region of the brain there are regions within a few millimeters of where these electrodes are that if stimulated could ,0
cause a temporary very brief side effect a moment of laughter like you said or a moment of panic and of course we can just shut that electrode off but often these side effects could be therapeutic and actually that's how we have discovered ways to use deep brain stimulation not just for movement disorders like Parkinson's disease but ,0
for example patients with Parkinson's disease that have a psychiatric uh uh comorbidity like depression or obsessive-compulsive disorder a lot of these patients are highly compulsive and impulsive sometimes these problems actually melt away and we're trying to help their Tremor but the patients also tell us ,0
that their gambling issue has gotten better or their mood has improved and why is that well you know there's probably more than one reason you know you can help somebody's Mood by making their Tremor go away of course but we see laughter in the clinic sometimes and and why is that and that's because we're stimulating parts of the brain that are ,0
not just involved in these motor circuits but they're also involved in what we call a limbic circuit or part of the brain involved in emotion and if we learn how to modulate those areas therapeutically step by step we can actually develop these therapies for other indications like depression I would say the most impressive and ,0
consistent effect we have when we have a patient with Tremor who has been tremming for the past 20 years if we can deliver stimulation through that electrode in the clinic we have immediate relief of Tremor and that is the effect that inspired me to be a neurosurgeon when I was in college I've never really wanted to do anything else ,0
X accept help develop that type of therapeutic for another another kind of symptom I'm very interested in obesity and related Eating Disorders compulsive Behavior the urge to uh to to have something that might be delicious but dangerous or unhealthy or a drug or a compulsion like we see in OCD or pests of compulsive disorder uh interestingly ,0
like we see Tremor melt away when we deliver electricity to a certain part of the brain we can see these psychiatric more psychiatric problems they're not all psychiatric disorders but let's say disorders of the brain we can see symptoms of those disorders also improve and often immediately just like we do with Tremor so I see it all the time to ,0
to pick out one uh would be would be a challenge because for me this is my my everyday the speed of the relief that you described for Tremor is really um incredible just thinking about drug therapies and there too there are side effects but they're still a lot of mysteries as to for instance why ssris ,0
even work when they work and the timing is always a challenge timing dosage yes absolutely um I'd love to learn more from you about OCD I I have several reasons for asking this first of all I'm a somewhat obsessive person I tend to be very very narrowly focused although I confess it's not a step function it takes me some ,0
time to turn off the chatter but once I'm into a thought train or a mode of being uh and thinking and work it's very hard for me to exit that that mode it's like a deep Trench adaptive in some circumstances less adaptive than others as you know the other is that when I was a kid uh I had a little bit of a grunting tick I used ,0
to I had a this intense intense desire to clear my throat um to the point where my my dad said like you need to stop that he used to squeeze my hand every time I do it and I used to hide in the back seat of the car in the closet to do it because it provided so much relief and then it eventually passed yes I wasn't medicated ,0
they never did anything about it every once in a while now if I'm very fatigued if I've been working a lot I notice it starts to come back I'll do this like kind of grunting and so it's been sort of like a pet neurological symptom for me that reminds me that these these circuits exist in all of us and that sometimes they go haywire and sometimes ,0
they just have subtle um you know over excitation or something of that sort and then the third reason is that I get thousands of questions about OCD could you perhaps just tell us what is OCD sure um what are some brain areas involved what are the current range of treatments and what's the difference between someone ,0
who is obsessive and somebody who has real OCD so a brief disclosure as a neurosurgeon I do take care of patients with severe obsessive-compulsive disorder um but my perspective on OCD may be a little bit different than a psychiatrist who who lives and breathes OCD and sees patients every single day with OCD I'd ,0
probably take care of a three to five patients a year with deep brain stimulation for obsessive-compulsive disorders so I don't see these patients as routinely but my laboratory is geared as a researcher I'm very focused on trying to improve outcomes of deep brain stimulation for for OCD so I do feel I have expertise and and a perspective to ,0
share but just a brief disclosure I I do feel that as a neurosurgeon I am obligated to better understand where the obsessions in the brain come from and how we can interrupt them to stop the compulsion that's associated with the obsession sort of the intrinsic most feature of OCD uh better than we're ,0
actually doing it for example if we were to offer a patient with Tremor deep brain stimulation surgery of course there's some risk to the procedure but the outcome is so consistent and positive that many patients are willing to take on that risk uh for obsessive compulsion compulsive disorder the ,0
surgery risk is about the same however the benefit is not quite as robust and so a lot of patients and they're referring psychiatrists are reluctant to refer these patients to us and it's completely understandable uh I've been leading an Endeavor with a number of collaborators around the country to try to ,0
better understand these circuits in the brain uh study them in humans both invasively and non-invasively that would be with an electrode-based surgery sort of like we do at epilepsy to understand where seizures come from we want to understand better where obsessions come from but we're also working with imaging experts and geneticists to understand ,0
OCD at a broader level as well uh I I consider OCD to be a a spectrum disorder in a way uh and I I apologize to those who who might feel that I'm using that term incorrectly I'm using it in a way to describe patients that have obsessions and even some related compulsions might not meet criteria for OCD it may be something ,0
Andrew that that you have and as a neurosurgeon I'm really obsessive about safety and compulsive about my surgical procedures so you know I I think that some aspect of OCD which we often joke about but we should you know consider seriously because people do suffer from this uh some aspect of it helps us there are you know famous uh CEOs that ,0
probably have some level of OCD uh surgeons and scientists alike so perhaps if it can be controlled it's an asset and uh but if it goes awry and is uncontrollable then it becomes obsessive-compulsive disorder and I tend to see the patients that are the most severe so they have failed medication and there are multiple medications that ,0
are worth trying for OCD some can actually be very helpful which neurotransmitter systems do they tend to poke at well ssris are sort of the the first line for OCD but also tricyclics can be helpful so this is still the serotonin system but as we know the serotonin system interacts with the you know neurogenergic system and the ,0
dopamine system so it's hard to be specific to one of these things and I think that's also why it's hard for us to predict how these medications are going to to work for these kinds of patients but tricyclics and ssris can be very helpful and are definitely first line and there's others exposure response prevention is uh probably the ,0
most effective option which is kind of like cognitive behavioral therapy but these are different and offered by psychologists and this is a whole field and there's a a field or I should say a whole clinic at my institution focused it was started by Edna foa at Penn who this is what they do for these patients ,0
uh is offer these types of cognitive therapies exposure to the stressor and to try to get patients to habituate to whatever it is that stresses them and causes these uh compulsions to help these patients live in every day and function these are all fabulously helpful therapies for a variety of patients but there's still about 30 of ,0
patients that still suffer from OCD and some of them have severe OCD sometimes it's moderate to severe and those are the patients that I'm really motivated to try to help um our therapies for those patients right now I would say are are worth pursuing but not optimal um and so it's it's one of those things ,0
that we have to balance as a researcher because when you see patients like this you want to do everything you can to help them and I think it's important to educate patients on the risks and benefits of them this is deep brain stimulation surgery but also capsulotomy which is more of an ablation approach a little bit like deep brain stimulation ,0
but rather than delivering stimulation through an electrode you can actually heat the tissue and even destroy it some would say this part of the brain is very safe to destroy it's kind of like an appendix um others would say it's safer to modulate I have seen patients do very well with these ablations and so you ,0
know you asked me earlier what what I find so amazing about the brain these effects that we can have sometimes the lack of effect is what's so amazing you can actually Traverse parts of the brain without having any adverse effects on patients function at least that you can test but you can also destroy small parts of the ,0
brain we're talking three or four millimeters in size these little ablations can be really helpful for patients but have no obvious side effects that we can tell perhaps after a short recovery from surgery but nonetheless despite how safe they might be these surgical procedures still are surgical procedures and patients are ,0
hesitant to perceived especially when they know that their chance of a transformative effect is quite low we can generally achieve a responder rate of about 50 percent and responders still have symptomatic OCD so I'm really uh sort of inspired to really find a way to deliver these therapies in a more disease ,0
specific or symptom-specific way but we're years away probably from from that therapy since it's all part of a research study at the moment what brain areas should I think about when I think about OCD years ago I remember opening a textbook I think it was an undergraduate still and work from Judith Rappaport at the National ,0
Institutes of mental health this would be late 80s early 90s was um had done some neuroimaging or maybe it was pet or some other Imaging technique and had identified portions of the basal ganglia sure caudi putanum type structures in OCD and maybe some differences in boys versus girls so what brain areas are ,0
there sex differences in terms of OCD and were one to come into your clinic this you know for this sort of a work of ablations or stimulation uh where would you first start to probe in the brain yeah you this is a uh a disorder of both cortex and the Sub sub cortex uh ,0
the cortical control areas areas that are involved in inhibitory control we have found to not function properly in patients with OCD so areas like the orbital frontal cortex and the prefrontal cortex if you image these areas or study them even in a a rodent model of OCD which quite honestly these models they model aspects of OCD but OCD ,0
is a human condition you can't really model this whole condition in a in a mouse or a wrap but perhaps you can model compulsive behavior in a rat sure and pulling out their hair yeah exactly you know that's that's not necessarily obsessive compulsive disorder but that is compulsive behavior and perhaps if you can ameliorate that in a rat that ,0
might be helpful for a patient with OCD but we have to approach animal modeling of OCD thoughtfully uh and and most scientists do I think uh when we study OCD in in models or in in humans with imaging and and we're trying to do it invasively with with electrodes like we do in epilepsy patients we find that areas in the cortex like ,0
the prefrontal and orbital frontal cortex are are not functioning they will the way they would in a non-oc patient they are often hyper functioning uh such that while you might say Well they're hyper functioning so aren't these patients you know functioning better that hyper focused yeah hyper focused exactly ,0
um no I I would say it's it's not so much an up or down it's more that they're just dysfunctional and we need to find a way to try to restore normal function to these areas it's not so much directional really um we tend to oversimplify brain function by thinking about it with directionality too much ,0
um unfortunately Imaging studies sometimes demonstrate activation or hypoactivation and that's where I think these kinds of things can be misconstrued but what I would call the cortical areas of OCD is that they're dysregulated and we need to find a way to try to normalize their function so uh the frontal lobe is is huge but areas of ,0
the frontal lobe that are a bit more basal like the ofc or orbital frontal cortex and the prefrontal cortex definitely consistently seem to be implicated in patients with OCD and then their projections to the subcortex this is the basal ganglia like you were saying caudi putamen or the dorsal striatum and these are interconnected ,0
with the ventral striatum this is an area of the brain that I uh focus a lot of my energy in um this is the ventralstratum which is not limited to but includes the nucleus accumbens this is an area of the brain that we know to be involved in gating reward seeking behavior when it's perturbed it seems to gait compulsive Behavior meaning a rat ,0
will pursue a reward despite punishment despite a foot shock for example and that can be uh similar to an OCD patient they will um check their home for safety until 3 A.M in the morning and not sleep that night in a way that is similar to a rat seeking out a food reward uh despite a foot shock ,0
um doing something because of the urge but despite the risk and perhaps there is some normal judgment there we all have to take risks to function in everyday Society to be successful we have to take a risk to take care of patients with surgery there's some risk there we make a judgment call and that's not a condition ,0
that that's just normal but when our judgment is consistently sort of puts us at risk that's where we have something like OCD but OCD is also you know it's one of many conditions that suffer from these kinds of problems we tend to label them because they tend to present in a consistent way so we have patients with OCD that have hyper checking Behavior or ,0
contamination Behavior where they if they feel contaminated they'll wash their hands for hours repeatedly or if they drop their toothbrush on the floor this will lead to a compulsive behavior of cleaning a toothbrush or brushing your teeth consistently very very common symptoms that we see or signs that the patients report to us or or that we ,0
observe but you know patients with eating disorders they tend to if if they have binging disorder they'll overeat if they have bulimia they might Purge despite the risk of these things and so um addiction is is similar we we tend to drug seek if we're addicted um uh we'll we'll pay off a dealer uh in ,0
order to get our fix and despite the risk and and that type of urge despite the risk is something that I I've always been really interested in and it's a common denominator to all of these problems and if you think about these problems I mean these are some of the most common conditions in our society today I'd like to take a quick break and ,0
acknowledge one of our sponsors athletic greens athletic greens now called ag-1 is a vitamin mineral probiotic drink that covers all of your foundational nutritional needs I've been taking athletic green since 2012 so I'm delighted that they're sponsoring the podcast the reason I started taking athletic greens and the reason I still ,0
take athletic greens once are usually twice a day is that it gets to be in the probiotics that I need for gut health our gut is very important it's populated by gut microbiota that communicate with the brain the immune system and basically all the biological systems of our body to strongly impact our immediate and long-term health ,0
and those probiotics and athletic greens are optimal and vital for microbiotic health in addition athletic greens contains a number of adaptogens vitamins and minerals that make sure that all of my foundational nutritional needs are met and it tastes great if you'd like to try athletic greens you can go to athleticgreens.com huberman and they'll ,0
give you five free travel packs that make it really easy to mix up athletic greens while you're on the road in the car on the plane Etc and they'll give you a year's supply of vitamin d3k2 again that's athleticgreens.com huberman to get the five free travel packs and the year supply of vitamin D3 K2 I really appreciate that you're building ,0
this bridge from OCD to nucleus accumbens which is of course associated with reward in various forms and we'll get to that um I'll share a personal anecdote as a as a form of question when I was in college and studying a lot I relied on caffeine as a stimulant I've never really been into drugs or alcohol I've ,0
been Lucky in that sense I don't drink and I care less if alcohol disappeared never really liked recreational drugs so I was never drawn to them however when I was in college at the time there were these little epinephrine pills that were common in a lot of sports supplements these are like pre-workout type things yes not unlike ,0
energy drinks now which I completely avoid um and I had this experience of taking one of these and drinking some coffee and of course it gave me a lift in energy these are very similar to amphetamine they were legal over the counter at the time they're now either banned or illegal I do not recommend ,0
them and I had a lot of energy but what I noticed is that my grunting tick came back and I had I made one mistake I still think of this as one mistake which was um I engage in a superstitious Behavior I knocked on wood and then somehow it felt very rewarding like it gave me some totally irrational but internally ,0
rational sense of of security around I forget what I was knocking on wood about and I found that I couldn't break that knock on wood compulsion I felt I needed to knock on wood and so then I started sneaking knock on Woods like in mid-exam and studying and pretty soon I was knocking on wood often I developed a superstition ,0
and so I'm curious about the role of superstition and compulsion in the crossover there it makes sense logically to me but I was equally shocked to learn that when I stopped taking this stimulant which I was quite happy to to stop because it did make me feel too alert couldn't sleep well Etc that the Superstition went away as well ,0
and I'm guessing this has something to do with some of the reward circuitry as it's called related to stimulants again I am not encouraging anyone to take stimulants although healthy use of caffeine or safe use of caffeine might be the one universally accepted stimulant ,0
um it was really surprising to me how quickly this came on how quickly it engaged my my thinking and my behavior the obsessions and the compulsions and how quickly it turned off when I stopped taking this Sports stimulant or whatever it was I don't even remember I think it was some form of epinephrine ephedrine sure some saw epinephrine excuse me I ,0
misspoke ephedrine um is what I described sound totally outside the bounds of of uh logic or or am I imagining at all um no it did happen I'm certain it happened yeah no I don't think you're imagining it at all I you know this the grunting that you you mentioned to me you know first of all I ,0
didn't uh comment but you know that that sort of not to put a label on it but it sounds like a tick and you know ticks in in young males extremely common and they do tend to go away linking to like since I have a good friend who actually a famous neuroscientist I won't mention who it is who's worked very hard to suppress his his blinking tits and when ,0
he gets fatigued it comes back and and um he's very high functioning yes in his personal life and his professional life but but when you're talking to him and he starts doing this so you kind of start wondering like what's going on yeah yeah and it's unfortunate you know people with these problems especially as they get more severe then you get ,0
Tourette Syndrome you know it's hard to function in our society I have some friends that have Tourette I'll tell you I I'm just so inspired because there there so um they're so confident and you know people obviously notice these problems but they they just live their life and they're very successful and that's not ,0
typical um I have I have friends that I went to Penn with undergrad that had these kinds of problems and I was always just so happy and inspired by them but what's more typical is uh you know these problems cause people to lose their confidence and and not you know uh pursue you know their profession ,0
as they may have done or um things of that nature so I I think it's all related to the fact that we our brains are very vulnerable and to get back to your question about the stimulant you know I think I think your brain was very vulnerable to it you know you you sort of may have had a predisposition to it ,0
um you mentioned that you have you're a little obsessive and with the tick there maybe you have this kind of you know on the on the mild side of the spectrum OCD um and I I probably do as well by the way so I also also have avoided drugs for that reason uh in my life I'll drink a little bit of wine here and there but that's about it ,0
um and uh but I I think most people don't avoid these things and we see these problems in relation to not just taking a stimulant but any kind of environmental exposure our own Society causes so much stress um and that's why I think we have these human conditions these are human conditions we try to model them in in ,0
animals but most animals don't have these kinds of problems you know I've heard that you can a an animal like a a monkey in the wild can have depression a monkey's version of depression but I don't think it's really typical or human depression you know and certainly it's not as prevalent as depression is in our human society I think you know we ,0
haven't evolved to manage the stresses that are in this society that we currently have and stimulants is probably one of them you know and I I suspect you are probably a little bit vulnerable um it's possible the stimulant led to an overdrive of your prefrontal and orbital frontal cortex and even brought out a ,0
their Tremor go away of course but we see laughter in the clinic sometimes and and why is that and that's because we're stimulating parts of the brain that are not just involved in these motor circuits but they're also involved in what we call a limbic circuit or part of the brain involved in emotion and if we learn how to modulate those areas ,1
used to hide in the back seat of the car in the closet to do it because it provided so much relief and then it eventually passed yes I wasn't medicated they never did anything about it every once in a while now if I'm very fatigued if I've been working a lot I notice it starts to come back I'll do this like kind of grunting and so it's been sort ,1
completely understandable uh I've been leading an Endeavor with a number of collaborators around the country to try to better understand these circuits in the brain uh study them in humans both invasively and non-invasively that would be with an electrode-based surgery sort of like we do at epilepsy to understand ,1
where seizures come from we want to understand better where obsessions come from but we're also working with imaging experts and geneticists to understand OCD at a broader level as well uh I I consider OCD to be a a spectrum disorder in a way uh and I I apologize to those who who might feel that I'm using that term incorrectly I'm using it ,1
patients but tricyclics and ssris can be very helpful and are definitely first line and there's others exposure response prevention is uh probably the most effective option which is kind of like cognitive behavioral therapy but these are different and offered by psychologists and this is a whole field and there's a a field or I should say a ,1
identified portions of the basal ganglia sure caudi putanum type structures in OCD and maybe some differences in boys versus girls so what brain areas are there sex differences in terms of OCD and were one to come into your clinic this you know for this sort of a work of ablations or stimulation uh where would you first ,1
problems and if you think about these problems I mean these are some of the most common conditions in our society today I'd like to take a quick break and acknowledge one of our sponsors athletic greens athletic greens now called ag-1 is a vitamin mineral probiotic drink that covers all of your foundational nutritional needs I've been taking ,1
athletic green since 2012 so I'm delighted that they're sponsoring the podcast the reason I started taking athletic greens and the reason I still take athletic greens once are usually twice a day is that it gets to be in the probiotics that I need for gut health our gut is very important it's populated by gut microbiota that communicate with ,1
little OCD Behavior related to this super uh this Superstition that you had so um no I believe that entirely and I also think you know that's why things like OCD and other kinds of psychiatric disorders tend to present themselves in college when people leave their home and they're in school and they're stressed and they're getting exposed to things ,0
that they haven't been exposed to before outside of the home and and you know their brains aren't evolved and sophisticated enough yet to help them cope with these kinds of stresses and how it manifests is in these kinds of conditions and it's I don't want to put a label on those conditions but certainly could be a psychiatric ,0
disorder but could also just be lots of anxiety it could also be the kind of problems that you had as well so um and I think the nucleus accumbens and the cortical areas that we've been discussing that that sort of send projections to these areas are are probably at least one of the main circuits involved in these kinds of ,0
